buildingname,buildingaddress,buildingtype,mainbuildingfunction,buildingsize,yearobtainedtopcsc,greenmarkrating,greenmarkyearofaward,greenmarkversion,grossfloorarea,percentageofairconditionedfloorarea,averagemonthlybuildingoccupancyrate,numberofhotelrooms,typeofairconditioningsystem,ageofchiller,centralisedairconditioningplantefficiency,yearoflastchillerplantaudithealthcheck,percentageusageofled,installationofsolarpv,2017,2018,2019,2020
N/A,"145 WEST COAST ROAD, SINGAPORE 127367",Commercial Building,Office,Small,1982,N/A,N/A,N/A,"6,345",10%,38%,N/A,Others,6,N/A,N/A,0%,N,125.14,66.89,87.08,89.54
SQUARE 2,"10 SINARAN DRIVE, SINGAPORE 307506",Commercial Building,Mixed Development,Large,2006,N/A,N/A,N/A,"31,616",95%,90%,N/A,Water Cooled Chilled Water Plant,12,N/A,N/A,5%,N,531.40,543.26,540.69,521.55
HOTEL BOSS,"500 JALAN SULTAN, SINGAPORE 199020",Commercial Building,Hotel,Large,2015,Platinum,2016,New Building for Non-Residential buildings (version 4.1),"32,600",82%,80%,1500,Water Cooled Chilled Water Plant,5,0.62,2020,95%,Y,272.27,249.45,241.57,185.50
V HOTEL LAVENDER,"70 JELLICOE ROAD, SINGAPORE 208767",Commercial Building,Hotel,Large,2011,GoldPlus,2012,New Building for Non-Residential buildings (version 3),"18,986",90%,80%,888,Water Cooled Chilled Water Plant,9,0.7,2015,90%,N,389.71,391.69,365.59,330.76
N/A,"3 DICKSON ROAD, SINGAPORE 209530",Commercial Building,Hotel,Small,2008,N/A,N/A,N/A,"5,021",100%,80%,235,Others,12,N/A,N/A,28%,N,320.83,342.26,352.14,334.43
HOTEL MI,"41 BENCOOLEN STREET, SINGAPORE 189623",Commercial Building,Hotel,Small,2017,GoldPlus,2018,New Building for Non-Residential buildings (version 4.1),"6,666",100%,80%,342,Water Cooled Chilled Water Plant,3,0.62,2020,96%,N,86.27,218.22,242.03,215.36
V HOTEL BENCOOLEN,"48 BENCOOLEN STREET, SINGAPORE 189627",Commercial Building,Hotel,Small,2013,GoldPlus,2015,New Building for Non-Residential buildings (version 4),"5,262",86%,80%,273,Water Cooled Chilled Water Plant,7,N/A,N/A,96%,N,329.65,344.84,360.30,289.17
TRISTAR INN,"1 ONAN ROAD, SINGAPORE 424780",Commercial Building,Hotel,Small,1999,N/A,N/A,N/A,"5,368",99%,80%,117,Others,18,N/A,N/A,0%,N,199.93,209.46,228.94,219.39
VALUE HOTEL - THOMSON,"592 BALESTIER ROAD, SINGAPORE 329901",Commercial Building,Hotel,Small,2009,N/A,N/A,N/A,"6,400",99%,80%,366,Others,11,N/A,N/A,26%,N,466.59,435.29,526.51,523.02
THE ARCADE,"11 COLLYER QUAY, SINGAPORE 049317",Commercial Building,Office,Large,1983,N/A,N/A,N/A,"19,928",73%,98%,N/A,Water Cooled Packaged Unit,16,0.83,2017,0%,N,252.77,226.74,242.47,210.40
JEM,"50 JURONG GATEWAY ROAD, SINGAPORE 608549",Commercial Building,Retail,Large,2013,Platinum,2018,New Building for Non-Residential buildings (version 4),"108,169",96%,80%,N/A,Others,0,0.54,2018,0%,N,341.14,336.43,328.78,312.17
BURLINGTON SQUARE,"175 BENCOOLEN STREET, SINGAPORE 189649",Commercial Building,Office,Small,1998,N/A,N/A,N/A,"11,080",100%,95%,N/A,Others,17,N/A,N/A,100%,N,268.06,273.98,267.22,239.16
N/A,"50 SCOTTS ROAD, SINGAPORE 228242",Commercial Building,Office,Small,2009,Gold,2020,Existing Building for Non-Residential buildings (version 2.1),"13,553",92%,100%,N/A,Others,9,0.85,2017,4%,N,237.01,249.83,236.72,202.68
RAMADA SINGAPORE AT ZHONGSHAN PARK,"16 AH HOOD ROAD, SINGAPORE 329982",Commercial Building,Hotel,Omit,2012,Gold,2018,Existing Building for Non-Residential buildings (version 3),"26,387",100%,88%,787,Others,5,0.95,2017,50%,N,571.24,579.95,585.67,512.41
HOUGANG 1,"1 HOUGANG STREET 91, SINGAPORE 538692",Commercial Building,Retail,Small,2012,N/A,N/A,N/A,"9,821",87%,100%,N/A,Air Cooled Chilled Water Plant,5,N/A,N/A,50%,N,928.56,914.51,928.08,889.99
CATHAY CINELEISURE ORCHARD,"8 GRANGE ROAD, SINGAPORE 239695",Commercial Building,Retail,Large,1997,N/A,N/A,N/A,"24,646",77%,88%,N/A,Water Cooled Chilled Water Plant,5,N/A,N/A,75%,N,421.94,411.13,388.73,257.15
THE CATHAY,"2 HANDY ROAD, SINGAPORE 229233",Commercial Building,Retail,Large,1997,N/A,N/A,N/A,"24,434",100%,71%,N/A,Water Cooled Chilled Water Plant,14,N/A,N/A,80%,N,352.48,336.59,306.58,236.08
THE MIDTOWN,"1187 UPPER SERANGOON ROAD, SINGAPORE 533971",Commercial Building,Retail,Small,2016,N/A,N/A,N/A,"6,359",1%,50%,N/A,Others,2,N/A,N/A,0%,N,294.95,336.72,265.10,228.47
GREAT EASTERN CENTRE,"1 PICKERING STREET, SINGAPORE 048659",Commercial Building,Office,Omit,2000,Platinum,2019,Existing Building for Non-Residential buildings (version 3),"43,006",82%,94%,N/A,Water Cooled Chilled Water Plant,1,0.58,N/A,100%,N,197.86,193.91,152.97,127.65
112 KATONG,"112 EAST COAST ROAD, SINGAPORE 428802",Commercial Building,Retail,Large,2011,N/A,N/A,N/A,"26,208",100%,69%,N/A,Water Cooled Chilled Water Plant,7,N/A,N/A,75%,N,466.75,395.75,372.93,66.29
SCHOOL OF PHYSICAL EDUCATION SWIMMING COMPLEX,"21 EVANS ROAD, SINGAPORE 259366",Commercial Building,Office,Small,1988,N/A,N/A,N/A,"9,436",31%,100%,N/A,Others,5,N/A,N/A,0%,N,39.99,35.98,35.98,1.61
MOUNTBATTEN SQUARE,"229 MOUNTBATTEN ROAD, SINGAPORE 398007",Commercial Building,Office,Large,2009,N/A,N/A,N/A,"19,916",87%,90%,N/A,Others,11,N/A,N/A,15%,N,125.43,114.83,122.49,98.55
N/A,"16 INTERNATIONAL BUSINESS PARK, SINGAPORE 609929",Commercial Building,Office,Small,2002,N/A,N/A,N/A,"6,359",87%,100%,N/A,Air Cooled Chilled Water Plant,2,N/A,N/A,19%,N,151.30,148.98,130.76,118.82
MING ARCADE,"21 CUSCADEN ROAD, SINGAPORE 249720",Commercial Building,Retail,Small,1983,N/A,N/A,N/A,"5,338",94%,85%,N/A,Air Cooled Chilled Water Plant,8,N/A,N/A,0%,N,237.95,233.51,222.99,167.04
FOOK HAI BUILDING,"150 SOUTH BRIDGE ROAD, SINGAPORE 058727",Commercial Building,Office,Large,1976,N/A,N/A,N/A,"17,884",61%,96%,N/A,Water Cooled Chilled Water Plant,5,N/A,N/A,0%,N,176.51,187.02,185.57,152.17
FAMILY LINK @ LENGKOK BAHRU,"8 LENGKOK BAHRU, SINGAPORE 159052",Commercial Building,Office,Small,2009,Gold,2019,Existing Building for Non-Residential buildings (version 3),"6,898",18%,85%,N/A,Others,10,N/A,N/A,0%,N,111.71,118.05,116.46,109.78
REGISTRY OF MARRIAGES,"7 CANNING RISE, SINGAPORE 179869",Commercial Building,Office,Small,1983,Gold,2012,New Building for Non-Residential buildings (version 3),"5,055",80%,100%,N/A,Others,6,N/A,N/A,5%,N,88.63,85.09,89.85,84.56
N/A,"1 DEFU AVENUE 1, SINGAPORE 539540",Commercial Building,Office,Large,2004,N/A,N/A,N/A,"19,516",6%,100%,N/A,Others,5,N/A,N/A,0%,N,86.82,83.74,81.53,83.45
UPPER THOMSON COMMUNITY HUB,"600 UPPER THOMSON ROAD, SINGAPORE 574421",Commercial Building,Office,Small,2017,N/A,N/A,N/A,"6,493",64%,65%,N/A,Others,2,N/A,N/A,5%,N,17.12,42.35,49.45,53.71
KEMBANGAN-CHAI CHEE COMMUNITY HUB,"11 JALAN UBI, SINGAPORE 409074",Commercial Building,Office,Small,1985,N/A,N/A,N/A,"6,978",12%,100%,N/A,Others,6,N/A,N/A,5%,N,116.92,133.29,132.76,132.79
SINGAPORE BOYS' HOME,"30 JURONG WEST STREET 24, SINGAPORE 649696",Commercial Building,Office,Small,1991,N/A,N/A,N/A,"13,101",8%,100%,N/A,Others,6,225,2018,0%,N,66.55,64.51,66.26,13.65
ENABLING VILLAGE,"20 LENGKOK BAHRU, SINGAPORE 159053",Commercial Building,Office,Small,2015,N/A,N/A,N/A,"14,622",4%,100%,N/A,Others,6,2,N/A,45%,N,145.02,161.70,177.96,173.40
N/A,"3 BULIM DRIVE, SINGAPORE 648172",Commercial Building,Office,Small,2020,N/A,N/A,N/A,"18,008",13%,85%,N/A,Others,1,N/A,N/A,0%,N,N/A,N/A,N/A,88.22
BEA BUILDING,"60 ROBINSON ROAD, SINGAPORE 068892",Commercial Building,Office,Small,2009,N/A,N/A,N/A,"7,783",75%,100%,N/A,Air Cooled Chilled Water Plant,10,N/A,N/A,28%,N,304.85,292.19,274.00,262.95
PENINSULA SHOPPING COMPLEX,"3 COLEMAN STREET, SINGAPORE 179804",Commercial Building,Hotel,Omit,1985,GoldPlus,2019,Existing Building for Non-Residential buildings (version 3),"51,487",99%,94%,591,Water Cooled Chilled Water Plant,1,0.62,2019,100%,N,266.70,242.82,229.88,169.77
JALAN BESAR PLAZA,"101 KITCHENER ROAD, SINGAPORE 208511",Commercial Building,Office,Large,1985,N/A,N/A,N/A,"16,815",59%,90%,N/A,Water Cooled Chilled Water Plant,5,N/A,N/A,0%,N,120.37,117.50,115.49,105.73
CONNEXION,"1 FARRER PARK STATION ROAD, SINGAPORE 217562",Commercial Building,Retail,Large,2014,Platinum,2020,New Building for Non-Residential buildings (version 3),"58,369",85%,85%,245,Water Cooled Chilled Water Plant,5,0.65,N/A,80%,N,298.53,322.17,398.28,374.96
UE SQUARE,"83 CLEMENCEAU AVENUE, SINGAPORE 239920",Commercial Building,Office,Large,1995,N/A,N/A,N/A,"30,809",95%,90%,180,Others,0,N/A,N/A,0%,N,494.91,477.50,514.41,451.93
N/A,"450 ALEXANDRA ROAD, SINGAPORE 119960",Commercial Building,Office,Small,1976,N/A,N/A,N/A,"14,486",75%,70%,N/A,Water Cooled Chilled Water Plant,18,N/A,N/A,0%,N,157.38,4.14,3.40,9.96
THE ROCHESTER,"35 ROCHESTER DRIVE, SINGAPORE 138639",Commercial Building,Retail,Small,2011,Gold,2009,New Building for A/C buildings (version 2),"8,599",76%,90%,N/A,District Cooling Plant,N/A,N/A,N/A,0%,N,133.84,126.68,119.07,103.95
ONE FINLAYSON GREEN,"1 FINLAYSON GREEN, SINGAPORE 049246",Commercial Building,Office,Small,1995,N/A,N/A,N/A,"10,403",80%,95%,N/A,Air Cooled Chilled Water Plant,9,N/A,N/A,0%,N,190.51,187.65,186.46,161.27
N/A,"93 HOUGANG AVENUE 4, SINGAPORE 538832",Commercial Building,Office,Small,1910,N/A,N/A,N/A,"5,276",0%,20%,N/A,Others,0,N/A,N/A,100%,N,292.64,283.68,279.00,243.42
CONCORDE HOTEL AND SHOPPING MALL,"100 ORCHARD ROAD, SINGAPORE 238840",Commercial Building,Mixed Development,Large,1984,N/A,N/A,N/A,"62,543",96%,90%,421,Water Cooled Chilled Water Plant,5,N/A,N/A,5%,N,172.36,165.34,166.63,133.48
N/A,"2 LENGKOK BAHRU, SINGAPORE 159047",Commercial Building,Office,Small,2004,N/A,N/A,N/A,"5,681",74%,90%,N/A,Others,7,N/A,N/A,0%,N,215.11,251.84,263.65,231.45
THE BENCOOLEN,"180 BENCOOLEN STREET, SINGAPORE 189646",Commercial Building,Retail,Large,1999,N/A,N/A,N/A,"29,796",26%,90%,1,Others,7,N/A,N/A,0%,N,139.40,128.26,134.43,114.91
ALEXANDRA CENTRAL,"323 ALEXANDRA ROAD, SINGAPORE 159972",Commercial Building,Hotel,Small,2014,N/A,N/A,N/A,"13,572",88%,98%,442,Water Cooled Chilled Water Plant,5,N/A,N/A,90%,N,110.43,108.76,111.44,99.84
N/A,"30 HILL STREET, SINGAPORE 179360",Commercial Building,Office,Small,2000,Gold,2016,Existing Building for Non-Residential buildings (version 3),"11,427",86%,88%,N/A,Others,0,0.63,2018,85%,N,219.37,204.53,188.74,161.85
ANCHORPOINT SHOPPING CENTRE,"370 ALEXANDRA ROAD, SINGAPORE 159953",Commercial Building,Retail,Small,1997,N/A,N/A,N/A,"9,544",94%,93%,N/A,Water Cooled Chilled Water Plant,13,N/A,N/A,80%,N,622.57,616.40,566.76,489.06
N/A,"298 JALAN BUKIT HO SWEE, SINGAPORE 169565",Commercial Building,Office,Small,2020,Platinum,2020,Non-Residential Buildings NRB: 2015,"22,087",54%,65%,N/A,Water Cooled Chilled Water Plant,1,N/A,N/A,100%,N,N/A,N/A,N/A,57.38
SPRINGLEAF TOWER,"3 ANSON ROAD, SINGAPORE 079909",Commercial Building,Office,Large,2003,N/A,N/A,N/A,"33,846",100%,88%,N/A,Others,14,N/A,N/A,0%,N,224.84,209.14,206.56,168.17
PEOPLE'S PARK CENTRE,"101 UPPER CROSS STREET, SINGAPORE 058357",Commercial Building,Mixed Development,Large,1974,Gold,2020,Existing Building for Non-Residential buildings (version 3),"49,701",100%,95%,N/A,Water Cooled Chilled Water Plant,3,0.9,2017,95%,N,224.15,209.22,202.31,172.04
THE RIVERWALK,"20 UPPER CIRCULAR ROAD, SINGAPORE 058416",Commercial Building,Mixed Development,Large,1988,Certified,2019,Existing Building for Non-Residential buildings (version 3),"19,096",73%,95%,N/A,Water Cooled Chilled Water Plant,18,N/A,N/A,0%,N,292.62,258.56,246.09,225.74
SUNTEC CITY MALL,"3 TEMASEK BOULEVARD, SINGAPORE 038983",Commercial Building,Office,Omit,1991,Gold,2019,Existing Building for Non-Residential buildings (version 3),"490,516",78%,99%,N/A,Water Cooled Chilled Water Plant,6,0.63,2015,99%,N,297.68,302.60,304.88,220.60
TONG BUILDING,"302 ORCHARD ROAD, SINGAPORE 238862",Commercial Building,Office,Large,1982,N/A,N/A,N/A,"15,153",82%,70%,N/A,Water Cooled Chilled Water Plant,15,N/A,N/A,0%,N,174.32,151.08,156.34,142.28
YUHUA COMMUNITY CLUB,"90 BOON LAY WAY, SINGAPORE 609958",Commercial Building,Office,Small,2002,N/A,N/A,N/A,"5,834",12%,70%,N/A,Others,1,N/A,N/A,0%,N,56.83,50.58,52.62,41.93
PARC SOVEREIGN HOTEL - TYRWHITT,"165 TYRWHITT ROAD, SINGAPORE 207569",Commercial Building,Hotel,Small,2014,N/A,N/A,N/A,"6,962",86%,90%,270,Others,7,N/A,N/A,98%,N,250.62,254.21,272.08,213.44
GALAXIS,"1 FUSIONOPOLIS PLACE, SINGAPORE 138522",Commercial Building,Office,Large,2014,Platinum,2018,New Building for Non-Residential buildings (version 4),"68,839",81%,99%,N/A,Water Cooled Chilled Water Plant,5,0.62,2018,25%,N,184.40,184.68,180.34,147.99
BUKIT TIMAH SHOPPING CENTRE,"170 UPPER BUKIT TIMAH ROAD, SINGAPORE 588179",Commercial Building,Retail,Large,1978,Gold,2014,Existing Building for Non-Residential buildings (version 3),"29,985",87%,90%,N/A,Water Cooled Chilled Water Plant,3,0.65,2013,0%,N,148.19,156.10,149.59,122.47
UOB PLAZA,"80 RAFFLES PLACE, SINGAPORE 048624",Commercial Building,Office,Large,1992,GoldPlus,2017,Existing Building for Non-Residential buildings (version 3),"100,125",65%,95%,N/A,Water Cooled Chilled Water Plant,5,0.65,2015,30%,N,274.80,290.05,270.11,237.65
FAR EASTERN BANK BUILDING,"156 CECIL STREET, SINGAPORE 069544",Commercial Building,Office,Small,1991,N/A,N/A,N/A,"11,315",78%,97%,N/A,Water Cooled Chilled Water Plant,2,1.06,2018,15%,N,177.60,157.75,163.20,134.21
UOB ALEXANDRA BUILDING,"396 ALEXANDRA ROAD, SINGAPORE 119954",Commercial Building,Office,Large,1995,GoldPlus,2017,Existing Building for Non-Residential buildings (version 3),"30,469",74%,95%,N/A,Water Cooled Chilled Water Plant,5,0.58,2015,85%,N,657.13,700.85,749.19,712.95
UOB TAMPINES CENTRE,"1 TAMPINES CENTRAL 1, SINGAPORE 529539",Commercial Building,Office,Small,1997,N/A,N/A,N/A,"8,905",100%,100%,N/A,Water Cooled Chilled Water Plant,23,1.18,2018,0%,N,1394.10,1399.70,1463.76,1508.82
PREMIER INN,"700 BEACH ROAD, SINGAPORE 199598",Commercial Building,Hotel,Small,2016,N/A,N/A,N/A,"7,093",100%,80%,300,Others,3,N/A,N/A,80%,N,298.09,331.47,355.07,254.89
CONNECTION ONE,"168 JALAN BUKIT MERAH, SINGAPORE 150168",Commercial Building,Office,Large,1986,Platinum,2020,Existing Building for Non-Residential buildings (version 3),"95,696",84%,100%,N/A,Water Cooled Chilled Water Plant,6,0.6,2013,100%,N,141.47,141.89,133.11,167.68
HDB HUB,"490 LORONG 6 TOA PAYOH, SINGAPORE 310490",Commercial Building,Office,Large,2000,Platinum,2020,Existing Building for Non-Residential buildings (version 3),"187,345",65%,100%,N/A,Water Cooled Chilled Water Plant,7,0.63,2019,40%,Y,218.56,216.29,226.71,217.27
THE CHADWICK,"81 SCIENCE PARK DRIVE, SINGAPORE 118257",Commercial Building,Office,Small,1994,N/A,N/A,N/A,"7,816",61%,90%,N/A,Others,0,N/A,N/A,0%,N,304.01,203.96,125.14,92.37
THE CURIE,"83 SCIENCE PARK DRIVE, SINGAPORE 118258",Commercial Building,Office,Small,1994,N/A,N/A,N/A,"7,816",61%,90%,N/A,Others,0,N/A,N/A,0%,N,167.79,194.69,197.62,165.29
THE CAVENDISH,"85 SCIENCE PARK DRIVE, SINGAPORE 118259",Commercial Building,Office,Small,1994,N/A,N/A,N/A,"8,760",54%,95%,N/A,Others,0,N/A,N/A,0%,N,885.12,869.94,562.29,430.40
PEOPLE'S ASSOCIATION,"9 KING GEORGES AVENUE, SINGAPORE 208581",Commercial Building,Office,Small,2009,GoldPlus,2007,New Building (version 1),"14,647",87%,100%,N/A,Water Cooled Chilled Water Plant,8,0.76,N/A,0%,Y,146.58,145.36,139.31,114.68
SINGAPORE BUSINESS FEDERATION CENTER,"160 ROBINSON ROAD, SINGAPORE 068914",Commercial Building,Office,Large,2017,Platinum,2014,New Building for Non-Residential buildings (version 4),"28,189",95%,93%,N/A,Water Cooled Chilled Water Plant,5,0.6,2019,80%,N,126.81,148.43,171.07,149.89
THE FLOW MALL,"66 EAST COAST ROAD, SINGAPORE 428778",Commercial Building,Retail,Small,2017,Legislated,2017,N/A,"5,800",69%,25%,N/A,Others,2,107,2018,100%,N,42.68,86.95,107.91,121.72
PAYA LEBAR SQUARE,"60 PAYA LEBAR ROAD, SINGAPORE 409051",Commercial Building,Office,Large,2014,GoldPlus,2013,New Building for Non-Residential buildings (version 4),"62,328",92%,93%,N/A,Others,0,0.58,2020,19%,N,243.03,243.43,249.58,213.32
MND BUILDING,"5 MAXWELL ROAD, SINGAPORE 069110",Commercial Building,Office,Omit,1970,N/A,N/A,N/A,"84,229",42%,100%,N/A,Water Cooled Chilled Water Plant,20,N/A,N/A,0%,N,158.99,137.59,146.82,138.67
NATIONAL DESIGN CENTRE,"111 MIDDLE ROAD, SINGAPORE 188969",Commercial Building,Office,Small,1900,Platinum,2019,Existing Building for Non-Residential buildings (version 3),"7,948",77%,50%,N/A,Others,7,N/A,N/A,79%,N,197.86,196.49,215.50,154.83
DJIT SUN MALL,"5 ANG MO KIO CENTRAL 2, SINGAPORE 569663",Commercial Building,Retail,Small,2013,Legislated,2013,N/A,"5,103",88%,50%,N/A,Water Cooled Chilled Water Plant,6,0.8,2015,100%,N,469.21,498.47,418.04,343.45
DJITSUN MALL BEDOK,"445 BEDOK NORTH STREET 1, SINGAPORE 469661",Commercial Building,Retail,Small,2018,Legislated,2018,N/A,"4,662",70%,60%,N/A,Water Cooled Chilled Water Plant,2,0.67,2018,100%,N,N/A,229.42,381.94,304.15
GOLDBELL TOWERS,"47 SCOTTS ROAD, SINGAPORE 228233",Commercial Building,Office,Large,1999,Gold,2020,Existing Building for Non-Residential buildings (version 3),"17,815",90%,95%,N/A,Others,5,0.75,2020,0%,N,201.79,188.02,196.27,145.51
GRANDLINK SQUARE,"511 GUILLEMARD ROAD, SINGAPORE 399849",Commercial Building,Retail,Small,2000,N/A,N/A,N/A,"10,110",68%,70%,N/A,Others,15,N/A,N/A,30%,N,374.59,326.71,375.99,338.49
SHENTON HOUSE,"3 SHENTON WAY, SINGAPORE 068805",Commercial Building,Office,Large,1991,N/A,N/A,N/A,"28,835",100%,100%,N/A,Water Cooled Chilled Water Plant,10,N/A,N/A,5%,N,174.84,161.18,158.30,144.10
NEW WORLD CENTRE,"1 JALAN BERSEH, SINGAPORE 209037",Commercial Building,Office,Small,2000,N/A,N/A,N/A,"8,625",1%,95%,N/A,Others,0,N/A,N/A,0%,N,322.08,317.49,325.48,287.08
MAJLIS UGAMA ISLAM SINGAPURA,"273 BRADDELL ROAD, SINGAPORE 579702",Commercial Building,Office,Large,2009,N/A,N/A,N/A,"20,211",35%,100%,N/A,Others,8,N/A,N/A,0%,N,64.96,60.35,64.06,47.47
ESPLANADE MALL,"8 RAFFLES AVENUE, SINGAPORE 039802",Commercial Building,Retail,Omit,2002,Platinum,2018,Existing Building for Non-Residential buildings (version 3),"106,584",99%,70%,N/A,Water Cooled Chilled Water Plant,3,0.58,2018,80%,N,309.29,264.21,241.89,228.83
SINGAPORE POOLS BUILDING,"210 MIDDLE ROAD, SINGAPORE 188994",Commercial Building,Office,Small,2013,GoldPlus,2016,Existing Building for Non-Residential buildings (version 3),"13,121",96%,100%,N/A,Water Cooled Chilled Water Plant,4,0.67,2016,2%,N,264.39,264.47,272.47,227.26
INTERNATIONAL BUILDING,"360 ORCHARD ROAD, SINGAPORE 238869",Commercial Building,Office,Large,1990,GoldPlus,2019,Existing Building for Non-Residential buildings (version 3),"15,267",95%,85%,N/A,Water Cooled Chilled Water Plant,4,0.6,N/A,40%,N,348.89,535.27,544.85,471.23
DORSETT SINGAPORE,"333 NEW BRIDGE ROAD, SINGAPORE 088765",Commercial Building,Hotel,Small,2013,N/A,N/A,N/A,"11,584",88%,80%,285,Water Cooled Chilled Water Plant,7,0.8,N/A,92%,N,268.15,268.38,268.83,230.83
INSTITUTE OF SOUTH EAST ASIA STUDIES,"30 HENG MUI KENG TERRACE, SINGAPORE 119614",Commercial Building,Office,Small,1998,Platinum,2019,Existing Building for Non-Residential buildings (version 3),"9,882",58%,100%,N/A,Water Cooled Chilled Water Plant,2,0.89,2021,75%,N,230.08,172.81,121.07,100.56
THE CLEMENTI MALL,"3155 COMMONWEALTH AVENUE WEST, SINGAPORE 129588",Commercial Building,Retail,Large,2012,Gold,2018,Existing Building for Non-Residential buildings (version 3),"26,974",62%,100%,N/A,Water Cooled Chilled Water Plant,2,0.63,2018,90%,N,663.94,649.84,637.68,549.75
THE PARAGON,"290 ORCHARD ROAD, SINGAPORE 238859",Commercial Building,Retail,Large,2005,Certified,2018,Existing Building for Non-Residential buildings (version 3),"94,393",84%,100%,N/A,Water Cooled Chilled Water Plant,4,0.68,2018,100%,N,401.69,379.19,370.21,321.00
CERTIS CISCO CENTRE,"20 JALAN AFIFI, SINGAPORE 409179",Commercial Building,Office,Large,1986,N/A,N/A,N/A,"27,810",69%,95%,N/A,Water Cooled Chilled Water Plant,11,0.8,2015,0%,N,362.74,344.11,338.22,329.97
N/A,"1 HILLVIEW RISE, SINGAPORE 667970",Commercial Building,Office,Small,2017,Gold,2017,New Building for Non-Residential buildings (version 4.1),"5,000",24%,92%,N/A,Others,2,N/A,N/A,20%,N,57.14,109.29,103.59,90.78
ASIA SQUARE TOWER 1,"8 MARINA VIEW, SINGAPORE 018960",Commercial Building,Office,Large,2011,Platinum,2018,Existing Building for Non-Residential buildings (version 3),"145,650",85%,92%,N/A,District Cooling Plant,12,N/A,N/A,10%,Y,169.65,173.82,167.46,145.29
BANK OF AMERICA MERRILL LYNCH HARBOURFRONT,"2 HARBOURFRONT PLACE, SINGAPORE 098499",Commercial Building,Office,Large,2008,GoldPlus,2018,Existing Building for Non-Residential buildings (version 3),"22,722",93%,100%,N/A,Water Cooled Chilled Water Plant,12,0.65,2017,30%,Y,386.00,400.69,410.21,347.65
SHERATON TOWERS HOTEL,"39 SCOTTS ROAD, SINGAPORE 228230",Commercial Building,Hotel,Large,1985,Platinum,2019,Existing Building for Non-Residential buildings (version 3),"31,224",80%,80%,420,Water Cooled Chilled Water Plant,3,0.6,2020,85%,N,250.21,248.55,250.27,206.19
GENTING CENTRE,"3 LIM TECK KIM ROAD, SINGAPORE 088934",Commercial Building,Office,Small,1985,N/A,N/A,N/A,"12,948",92%,100%,N/A,Water Cooled Chilled Water Plant,2,0.55,2020,75%,N,249.81,224.29,182.78,140.58
GENTING HOTEL JURONG,"2 TOWN HALL LINK, SINGAPORE 608516",Commercial Building,Hotel,Large,2015,Platinum,2020,New Building for Non-Residential buildings (version 4.1),"19,147",82%,92%,557,Water Cooled Chilled Water Plant,4,0.62,2019,90%,N,254.02,250.90,239.26,202.58
RESORTS WORLD SENTOSA,"8 SENTOSA GATEWAY, SINGAPORE 098269",Commercial Building,Retail,Large,2010,Platinum,2016,Existing Building for Non-Residential buildings (version 3),"343,000",67%,90%,1612,District Cooling Plant,10,N/A,N/A,98%,Y,493.28,484.69,466.61,333.65
THE CENTREPOINT,"176 ORCHARD ROAD, SINGAPORE 238843",Commercial Building,Retail,Large,1983,N/A,N/A,N/A,"53,196",81%,86%,N/A,Water Cooled Chilled Water Plant,12,N/A,N/A,61%,N,356.49,341.08,330.33,248.44
BEDOK MALL,"311 NEW UPPER CHANGI ROAD, SINGAPORE 467360",Commercial Building,Retail,Large,2013,Platinum,2017,New Building for Non-Residential buildings (version 3),"31,204",98%,100%,N/A,Water Cooled Chilled Water Plant,7,0.61,2017,70%,Y,607.09,652.08,658.34,589.30
OUE BAYFRONT,"50 COLLYER QUAY, SINGAPORE 049321",Commercial Building,Mixed Development,N/A,2011,Gold,2019,Existing Building for Non-Residential buildings (version 2.1),"40,450",90%,100%,N/A,Water Cooled Chilled Water Plant,9,0.75,2019,85%,N,297.95,288.90,288.11,271.52
111 SOMERSET,"111 SOMERSET ROAD, SINGAPORE 238164",Commercial Building,Office,Small,2020,GoldPlus,2011,Existing Building (version 2),"68,233",88%,70%,N/A,Water Cooled Chilled Water Plant,2,0.69,2020,20%,N,N/A,N/A,N/A,157.23
N/A,"984 UPPER CHANGI ROAD NORTH, SINGAPORE 506969",Commercial Building,Office,Omit,1994,Legislated,2015,N/A,"383,038",25%,100%,N/A,Others,9,N/A,N/A,10%,N,341.04,306.40,283.91,212.43
AXA TOWER,"8 SHENTON WAY, SINGAPORE 068811",Commercial Building,Office,Large,1987,Platinum,2012,Existing Building for Non-Residential buildings (version 3),"95,625",97%,95%,N/A,Water Cooled Chilled Water Plant,14,0.77,2019,57%,N,156.12,151.31,158.00,124.42
THE PLAZA,"7500A BEACH ROAD, SINGAPORE 199591",Commercial Building,Mixed Development,Omit,1968,Gold,2017,Existing Building for Non-Residential buildings (version 3),"72,925",93%,80%,872,Water Cooled Chilled Water Plant,0,0.57,2017,85%,N,243.73,246.72,256.51,219.98
MAPLETREE ANSON,"60 ANSON ROAD, SINGAPORE 079914",Commercial Building,Office,Large,2009,Platinum,2019,Existing Building for Non-Residential buildings (version 3),"35,657",92%,99%,N/A,Water Cooled Chilled Water Plant,10,0.64,2019,30%,N,215.23,209.63,195.61,174.82
HILLION MALL,"17 PETIR ROAD, SINGAPORE 678278",Commercial Building,Retail,Large,2017,Legislated,2017,N/A,"20,546",88%,99%,N/A,Water Cooled Chilled Water Plant,2,0.7,2018,80%,N,619.19,777.82,780.77,684.22
